ID,Type,Submit Time,Start Time,End Time,Wait Time,Makespan,Turnaround Time,Status
0,moldable,0,0,71176,0,71176,71176,completed
1,moldable,71527,71527,93974,0,22447,22447,completed
2,moldable,71527,71527,95155.5,0,23628.5,23628.5,completed
3,moldable,71527,71527,92565,0,21038,21038,completed
4,moldable,169836,169836,243776,0,73940.5,73940.5,completed
5,moldable,242336,242336,371940,0,129604,129604,completed
6,moldable,335965,335965,366256,0,30291.5,30291.5,completed
7,moldable,335965,335965,366638,0,30673,30673,completed
8,moldable,335965,335965,364004,0,28038.5,28038.5,completed
9,moldable,335965,335965,360711,0,24746,24746,completed
10,moldable,335965,335965,365398,0,29433.5,29433.5,completed
11,moldable,335965,335965,369130,0,33165.5,33165.5,completed
12,moldable,335965,335965,369988,0,34023,34023,completed
13,moldable,335965,335965,366267,0,30302,30302,completed
14,moldable,335965,335965,366385,0,30420,30420,completed
15,moldable,335965,335965,368806,0,32841.5,32841.5,completed
16,moldable,335965,335965,367666,0,31700.5,31700.5,completed
17,moldable,335965,335965,363129,0,27164,27164,completed
18,moldable,335989,335989,411621,0,75632,75632,completed
19,moldable,336012,336012,409718,0,73706,73706,completed
20,moldable,338278,338278,511090,0,172812,172812,completed
21,moldable,338543,338543,370718,0,32175,32175,completed
22,moldable,338543,338543,369256,0,30713,30713,completed
23,moldable,338543,338543,365974,0,27430.5,27430.5,completed
24,moldable,338543,338543,368786,0,30243,30243,completed
25,moldable,338543,338543,368106,0,29563.5,29563.5,completed
26,moldable,338543,338543,367996,0,29453,29453,completed
27,moldable,338543,338543,371395,0,32852,32852,completed
28,moldable,338543,338543,368609,0,30066,30066,completed
29,moldable,338543,338543,367046,0,28503,28503,completed
30,moldable,338543,338543,369677,0,31134,31134,completed
31,moldable,338543,338543,369074,0,30530.5,30530.5,completed
32,moldable,338543,338543,368250,0,29706.5,29706.5,completed
33,moldable,339366,339366,375566,0,36200,36200,completed
34,moldable,339366,339366,375436,0,36070.5,36070.5,completed
35,moldable,339366,339366,373540,0,34174,34174,completed
36,moldable,339366,339366,374790,0,35424,35424,completed
37,moldable,339366,339366,375927,0,36561,36561,completed
38,moldable,339366,339366,374383,0,35017,35017,completed
39,moldable,339366,339366,373576,0,34210,34210,completed
40,moldable,339366,339366,365043,0,25677,25677,completed
41,moldable,339366,339366,369132,0,29765.5,29765.5,completed
42,moldable,339366,339366,374112,0,34745.5,34745.5,completed
43,moldable,339366,339366,376998,0,37632,37632,completed
44,moldable,339366,339366,377184,0,37818,37818,completed
45,moldable,339573,339573,369570,0,29996.5,29996.5,completed
46,moldable,339573,339573,381553,0,41980,41980,completed
47,moldable,339573,339573,382409,0,42836,42836,completed
48,moldable,339573,339573,383132,0,43559.5,43559.5,completed
49,moldable,339573,339573,375590,0,36016.5,36016.5,completed
50,moldable,339573,339573,376982,0,37409,37409,completed
51,moldable,339573,339573,379910,0,40336.5,40336.5,completed
52,moldable,339573,339573,377789,0,38216,38216,completed
53,moldable,339573,339573,372770,0,33197,33197,completed
54,moldable,339573,339573,375928,0,36355,36355,completed
55,moldable,339573,339573,376518,0,36944.5,36944.5,completed
56,moldable,339573,339573,379248,0,39674.5,39674.5,completed
57,moldable,341930,341930,381849,0,39919,39919,completed
58,moldable,388561,388561,404554,0,15993,15993,completed
59,moldable,388656,388656,405549,0,16893,16893,completed
60,moldable,394103,394103,553910,0,159807,159807,completed
61,moldable,394558,394558,541879,0,147321,147321,completed
62,moldable,394695,394695,543279,0,148584,148584,completed
63,moldable,394759,394759,538849,0,144090,144090,completed
64,moldable,395115,395115,538638,0,143522,143522,completed
65,moldable,417755,417755,452854,0,35098.5,35098.5,completed
66,moldable,421959,421959,425682,0,3723,3723,completed
67,moldable,422104,422104,449184,0,27079.5,27079.5,completed
68,moldable,422468,422468,422781,0,313,313,completed
69,moldable,422719,422719,422786,0,67.5,67.5,completed
70,moldable,422723,422723,422787,0,64,64,completed
71,moldable,422873,422873,422985,0,112,112,completed
72,moldable,422987,422987,423998,0,1011,1011,completed
73,moldable,427876,427876,428015,0,139,139,completed
74,moldable,429131,429131,450742,0,21611,21611,completed
75,moldable,429220,429220,472433,0,43213,43213,completed
76,moldable,429220,429220,472433,0,43213,43213,completed
77,moldable,429220,429220,472433,0,43213,43213,completed
78,moldable,429220,429220,471537,0,42317,42317,completed
79,moldable,429220,429220,472431,0,43211,43211,completed
80,moldable,429220,429220,471963,0,42743,42743,completed
81,moldable,429220,429220,472431,0,43211,43211,completed
82,moldable,429220,429220,472431,0,43211,43211,completed
83,moldable,429220,429220,472431,0,43211,43211,completed
84,moldable,429281,429281,471176,0,41895.5,41895.5,completed
85,moldable,429281,429281,472110,0,42829.5,42829.5,completed
86,moldable,429281,429281,471817,0,42536,42536,completed
87,moldable,429281,429281,472493,0,43212,43212,completed
88,moldable,429283,429283,472493,0,43210,43210,completed
89,moldable,429283,429283,472492,0,43209,43209,completed
90,moldable,430396,430396,435182,0,4786,4786,completed
91,moldable,430397,430397,435252,0,4855.5,4855.5,completed
92,moldable,430397,430397,435332,0,4935.5,4935.5,completed
93,moldable,430397,430397,434880,0,4483.5,4483.5,completed
94,moldable,430397,430397,435527,0,5130,5130,completed
95,moldable,430397,430397,440338,0,9941.5,9941.5,completed
96,moldable,430397,430397,435514,0,5117.5,5117.5,completed
97,moldable,430397,430397,438436,0,8038.5,8038.5,completed
98,moldable,430398,430398,434351,0,3953,3953,completed
99,moldable,430398,430398,434578,0,4180.5,4180.5,completed
100,moldable,430398,430398,435324,0,4925.5,4925.5,completed
101,moldable,430722,430722,432663,0,1941,1941,completed
102,moldable,430722,430722,440740,0,10017.5,10017.5,completed
103,moldable,430722,430722,438566,0,7843.5,7843.5,completed
104,moldable,430722,430722,440507,0,9785,9785,completed
105,moldable,430722,430722,440507,0,9785,9785,completed
106,moldable,430722,430722,440507,0,9785,9785,completed
107,moldable,433248,433248,433448,0,200,200,completed
108,moldable,434133,434133,434317,0,184,184,completed
109,moldable,434826,434826,435015,0,189,189,completed
110,moldable,445036,445036,445046,0,10.5,10.5,completed
111,moldable,445834,445834,445986,0,152.5,152.5,completed
112,moldable,446269,446269,447643,0,1374,1374,completed
113,moldable,446353,446353,446502,0,149.5,149.5,completed
114,moldable,446969,446969,447120,0,151.5,151.5,completed
115,moldable,450380,450380,450390,0,10.5,10.5,completed
116,moldable,450380,450380,450390,0,10.5,10.5,completed
117,moldable,450380,450380,450390,0,10.5,10.5,completed
118,moldable,450380,450380,450390,0,10.5,10.5,completed
119,moldable,450380,450380,450390,0,10.5,10.5,completed
120,moldable,450380,450380,450390,0,10.5,10.5,completed
121,moldable,450380,450380,450390,0,10.5,10.5,completed
122,moldable,450380,450380,450390,0,10.5,10.5,completed
123,moldable,450380,450380,450390,0,10.5,10.5,completed
124,moldable,450380,450380,450390,0,10.5,10.5,completed
125,moldable,450380,450380,450390,0,10.5,10.5,completed
126,moldable,450380,450380,450390,0,10.5,10.5,completed
127,moldable,450380,450380,450390,0,10.5,10.5,completed
128,moldable,450380,450380,450390,0,10.5,10.5,completed
129,moldable,450380,450380,450390,0,10.5,10.5,completed
130,moldable,450380,450380,450390,0,10.5,10.5,completed
131,moldable,450380,450380,450390,0,10.5,10.5,completed
132,moldable,450381,450381,450395,0,13.9355,13.9355,completed
133,moldable,450381,450390,450401,9.5,10.5,20,completed
134,moldable,450381,450390,450401,9.5,10.5,20,completed
135,moldable,450381,450390,450401,9.5,10.5,20,completed
136,moldable,450381,450390,450401,9.5,10.5,20,completed
137,moldable,452142,452142,452145,0,3,3,completed
138,moldable,452347,452347,452418,0,71.5,71.5,completed
139,moldable,452561,452561,452642,0,80.5,80.5,completed
140,moldable,453854,453854,459932,0,6078.5,6078.5,completed
141,moldable,455041,455041,474256,0,19215.5,19215.5,completed
